Date,State,Delegates
9 Feb 2016,New Hampshire,23
20 Feb 2016,South Carolina,50
1 Mar 2016,Alabama,50
1 Mar 2016,Arkansas,40
1 Mar 2016,Georgia,76
1 Mar 2016,Massachusetts,42
1 Mar 2016,Tennessee,58
1 Mar 2016,Texas,155
1 Mar 2016,Vermont,16
1 Mar 2016,Virginia,49
5 Mar 2016,Louisiana,46
8 Mar 2016,Hawaii,32
8 Mar 2016,Idaho,32
8 Mar 2016,Michigan,59
8 Mar 2016,Mississippi,40
15 Mar 2016,Florida,99
15 Mar 2016,Illinois,69
15 Mar 2016,Missouri,52
15 Mar 2016,North Carolina,72
15 Mar 2016,Ohio,66
22 Mar 2016,Arizona,58
22 Mar 2016,Utah,40
5 Apr 2016,Wisconsin,42
19 Apr 2016,New York,95
26 Apr 2016,Connecticut,28
26 Apr 2016,Delaware,16
26 Apr 2016,Maryland,38
26 Apr 2016,Pennsylvania,71
26 Apr 2016,Rhode Island,19
3 May 2016,Indiana,57
10 May 2016,Nebraska,36
10 May 2016,West Virginia,34
17 May 2016,Oregon,28
24 May 2016,Washington,44
7 Jun 2016,California,172
7 Jun 2016,Montana,27
7 Jun 2016,New Jersey,51
7 Jun 2016,New Mexico,24
7 Jun 2016,South Dakota,29
